,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5f52b10e0193bb5acbea65f3,"Nov 2, 2020 2:34 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,yes,,,"Nov 2, 2020 2:34 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5f489a37bc135c0008d8038d,"Nov 2, 2020 2:34 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5f49221ef5991142d65f8210,"Nov 2, 2020 2:35 am"
,,"If both participants choose the same, then we both get 100. I am fine with less.",100,Traveler's Dilemma P=0 H=$1 L=$.02,yes,,596fc4717008ef000109703d,"Nov 2, 2020 2:35 am"
,,"I think given the range from 2-100, picking a value in the middle will more likely result in both of us picking the same or similar amount.",50,Traveler's Dilemma P=0 H=$1 L=$.02,yes,,5f4b41fcc53d3670deab401a,"Nov 2, 2020 2:35 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5f47fb27144b1c26977010d2,"Nov 2, 2020 2:35 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5e1fc8d45427912f6143b012,"Nov 2, 2020 2:35 am"
,,it seemed like a good average,50,Traveler's Dilemma P=0 H=$1 L=$.02,yes,,5e9f9c19695232149bb32a86,"Nov 2, 2020 2:35 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5c2789fc1694480001e4c4e3,"Nov 2, 2020 2:36 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,yes,,,"Nov 2, 2020 2:36 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5692e00c8d93fe000efa0459,"Nov 2, 2020 2:36 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5c2d7cd0da51990001e426f9,"Nov 2, 2020 2:36 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5eb30b0809b1cb0d239f7c08,"Nov 2, 2020 2:36 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5f4fe72e9468441227166179,"Nov 2, 2020 2:36 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5c0fcccc1f6f150001487111,"Nov 2, 2020 2:36 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5f1b1f6a908b2609a62ab7ad,"Nov 2, 2020 2:36 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,yes,,,"Nov 2, 2020 2:36 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5f810b88592c911b7d9accef,"Nov 2, 2020 2:37 am"
,,,,Traveler's Dilemma P=0 H=$1 L=$.02,no,,5e7a258b1a7e1c069379711c,"Nov 2, 2020 2:37 am"
